Function,Direction,Multiplier1,Threshold1,Multiplier2,Threshold2
Rotated_Direct,Horizontal,10,0.006298674854515841,1,0.0068194417090731325
Rotated_Direct,Vertical,10,0.007681255398071179,1,0.00782121782769446
Rotated_CAT,Horizontal,10,0.005599801559283087,1,0.0057910958207048465
Rotated_CAT,Vertical,10,0.006477117041950253,1,0.0065853831129606254
Rotated_GT,Horizontal,10,0.005428112101344105,1,0.0057961895544325435
Rotated_GT,Vertical,10,0.006467251400403365,1,0.006571853639073267
Unrotated_Direct,Horizontal,10,0.007278183830422358,1,0.007593798715190469
Unrotated_Direct,Vertical,10,0.0076598686550833975,1,0.007656659678312814
unrotated_CAT,Horizontal,10,0.006076620775366222,1,0.006258260767358213
unrotated_CAT,Vertical,10,0.006255004533148967,1,0.00639934758885319
unrotated_GT,Horizontal,10,0.005747709671635957,1,0.00614261115520943
unrotated_GT,Vertical,10,0.006476835799302249,1,0.006609507098628336
